postManualTypoCorrection
gameId	language	stage	condition	alt1BasicLevel	alt1SuperLevel	alt2BasicLevel	alt2SuperLevel	listenerSelection	imageType	roundNumber	directorAllMessages	directorFirstMessage	guesserAllMessages	nameClickedObj	correct	words	sep	gender
K6HsQtxkc3dnokJJY	BCS	feedback	basicSuffType2	ambulance	vehicle	pretzels	snack	1	degenetal_stimuli	1	sivo i ima kolica__i izgleda lijepo	sivo i ima kolica		convertible	1	CO		2
K6HsQtxkc3dnokJJY	BCS	feedback	scene2	NA	NA	NA	NA	1	pophristic_stimuli	2	narancasto i nose se stvari u tome	narancasto i nose se stvari u tome		orange_basket	1	CO		2
K6HsQtxkc3dnokJJY	BCS	feedback	scene2	NA	NA	NA	NA	1	pophristic_stimuli	3	crveno i ima brojke	crveno i ima brojke		red_phone	1	CO		2
K6HsQtxkc3dnokJJY	BCS	feedback	subNec	dog	animal	bear	animal	1	degenetal_stimuli	4	sivo i izgleda ko vuk	sivo i izgleda ko vuk		husky	1	CO		2
K6HsQtxkc3dnokJJY	BCS	feedback	scene4	NA	NA	NA	NA	1	pophristic_stimuli	5	zeleno	zeleno		green_sock	1	C		5
K6HsQtxkc3dnokJJY	BCS	feedback	scene3	NA	NA	NA	NA	1	pophristic_stimuli	6	narancasto__poke	narancasto		orange_fork	1	C		5
K6HsQtxkc3dnokJJY	BCS	feedback	basicSuffType1	pretzels	snack	cookies	snack	1	degenetal_stimuli	7	sareno	sareno		gummyBears	1	O		5
K6HsQtxkc3dnokJJY	BCS	feedback	scene3	NA	NA	NA	NA	1	pophristic_stimuli	8	crno i glasno je	crno i glasno je		black_drum	1	CO		1
K6HsQtxkc3dnokJJY	BCS	feedback	scene3	NA	NA	NA	NA	1	pophristic_stimuli	9	narancasto i ravno	narancasto i ravno		orange_tie	1	CO		1
K6HsQtxkc3dnokJJY	BCS	feedback	scene1	NA	NA	NA	NA	1	pophristic_stimuli	10	ljubicasta	ljubicasta		purple_screwdriver	1	C		6
K6HsQtxkc3dnokJJY	BCS	feedback	supSuff	socks	clothing	firetruck	vehicle	1	degenetal_stimuli	11	hrana	hrana		catfish	1	O		0
K6HsQtxkc3dnokJJY	BCS	feedback	scene4	NA	NA	NA	NA	1	pophristic_stimuli	12	volim sjediti na tom	volim sjediti na tom		white_chair	1	O		0
K6HsQtxkc3dnokJJY	BCS	feedback	scene3	NA	NA	NA	NA	1	pophristic_stimuli	13	lijepo mirise	lijepo mirise		red_candle	1	CO		0
K6HsQtxkc3dnokJJY	BCS	feedback	scene2	NA	NA	NA	NA	1	pophristic_stimuli	14	crno i ima brojeve opet	crno i ima brojeve opet		black_calendar	1	CO		2
K6HsQtxkc3dnokJJY	BCS	feedback	scene2	NA	NA	NA	NA	1	pophristic_stimuli	15	lijepo i crveno	lijepo i crveno		red_butterfly	1	OC		2
K6HsQtxkc3dnokJJY	BCS	feedback	scene3	NA	NA	NA	NA	1	pophristic_stimuli	16	moju spijunirat kroz njih	moju spijunirat kroz njih		orange_binoculars	1	O		2
K6HsQtxkc3dnokJJY	BCS	feedback	scene1	NA	NA	NA	NA	1	pophristic_stimuli	17	nosim ih trenutno i narancasto je	nosim ih trenutno i narancasto je		orange_slipper	1	OC		2
K6HsQtxkc3dnokJJY	BCS	feedback	subNec	candy	snack	chips	snack	1	degenetal_stimuli	18	sareno i okruglo	sareno i okruglo		skittles	1	O		0
K6HsQtxkc3dnokJJY	BCS	feedback	scene2	NA	NA	NA	NA	1	pophristic_stimuli	19	crno i ima tocke	crno i ima tocke		black_die	1	CO		2
K6HsQtxkc3dnokJJY	BCS	feedback	subNec	flower	plant	ivy	plant	1	degenetal_stimuli	20	bijelo	bijelo		daisy	1	C		5
K6HsQtxkc3dnokJJY	BCS	feedback	scene1	NA	NA	NA	NA	1	pophristic_stimuli	21	crveno i mekano	crveno i mekano		red_scarf	1	CO		2
K6HsQtxkc3dnokJJY	BCS	feedback	scene4	NA	NA	NA	NA	1	pophristic_stimuli	22	helikopter helikopeeeeer	helikopter helikopeeeeer		purple_helicopter	1	N		0
K6HsQtxkc3dnokJJY	BCS	feedback	scene4	NA	NA	NA	NA	1	pophristic_stimuli	23	plavo	plavo		blue_ring	1	C		5
K6HsQtxkc3dnokJJY	BCS	feedback	basicSuffType1	rabbit	animal	cow	animal	1	degenetal_stimuli	24	crno bijeli fluffy svijet	crno bijeli fluffy svijet		pandaBear	1	CCN		2
K6HsQtxkc3dnokJJY	BCS	feedback	basicSuffType2	bear	animal	flower	plant	1	degenetal_stimuli	25	spiky	spiky		swordFish	1	O		0
K6HsQtxkc3dnokJJY	BCS	feedback	scene4	NA	NA	NA	NA	1	pophristic_stimuli	26	opeci cu se ako ga dotaknem	opeci cu se ako ga dotaknem		blue_iron	1	O		0
K6HsQtxkc3dnokJJY	BCS	feedback	scene1	NA	NA	NA	NA	1	pophristic_stimuli	27	zeleno i mora da je lijepo	zeleno i mora da je lijepo		green_necklace	1	CO		2
