gameId	language	name	id	stage	condition	alt1BasicLevel	alt1SuperLevel	alt2BasicLevel	alt2SuperLevel	listenerSelection	imageType	roundNumber	directorAllMessages	directorFirstMessage	guesserAllMessages	nameClickedObj	correct	words	sep	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned	target
Xg4TYATBTCC5Qs2rL	English	purple_ribbon	1	feedback	scene2	"NA"	"NA"	"NA"	"NA"	1	NA	3	purple item not tie	purple item not tie		purple_ribbon	1	"c(""C"", """", """", ""N"")"		TRUE	FALSE	TRUE	FALSE	FALSE	ribbon
Xg4TYATBTCC5Qs2rL	English	yellow_scarf	1	feedback	scene3	"NA"	"NA"	"NA"	"NA"	1	NA	4	yellow not candle	yellow not candle		yellow_scarf	1	"c(""C"", """", ""N"")"		TRUE	FALSE	TRUE	FALSE	TRUE	scarf
Xg4TYATBTCC5Qs2rL	English	white_phone	1	feedback	scene2	"NA"	"NA"	"NA"	"NA"	1	NA	8	white item not comb	white item not comb		white_phone	1	"c(""C"", """", """", ""N"")"		TRUE	FALSE	TRUE	FALSE	FALSE	phone
Xg4TYATBTCC5Qs2rL	English	green_die	1	feedback	scene3	"NA"	"NA"	"NA"	"NA"	1	NA	9	green not robot	green not robot		green_die	1	"c(""C"", """", ""N"")"		TRUE	FALSE	TRUE	FALSE	FALSE	die
Xg4TYATBTCC5Qs2rL	English	orange_truck	1	feedback	scene3	"NA"	"NA"	"NA"	"NA"	1	NA	13	orange not bowl	orange not bowl		orange_truck	1	"c(""C"", """", ""N"")"		TRUE	FALSE	TRUE	FALSE	TRUE	truck
Xg4TYATBTCC5Qs2rL	English	green_sock	1	feedback	scene1	"NA"	"NA"	"NA"	"NA"	1	NA	16	green not fish	green not fish		green_sock	1	"c(""C"", """", ""N"")"		TRUE	FALSE	TRUE	FALSE	FALSE	sock
Xg4TYATBTCC5Qs2rL	English	green_fish	1	feedback	scene3	"NA"	"NA"	"NA"	"NA"	1	NA	17	green not helicopter	green not helicopter		green_fish	1	"c(""C"", """", ""N"")"		TRUE	FALSE	TRUE	FALSE	FALSE	fish
Xg4TYATBTCC5Qs2rL	English	red_mug	1	feedback	scene2	"NA"	"NA"	"NA"	"NA"	1	NA	18	red not candle	red not candle		red_mug	1	"c(""C"", """", ""N"")"		TRUE	FALSE	TRUE	FALSE	TRUE	mug
Xg4TYATBTCC5Qs2rL	English	black_drum	1	feedback	scene4	"NA"	"NA"	"NA"	"NA"	1	NA	19	black not shoe	black not shoe		black_drum	1	"c(""C"", """", """")"		TRUE	FALSE	FALSE	FALSE	TRUE	drum
Xg4TYATBTCC5Qs2rL	English	purple_bowl	1	feedback	scene1	"NA"	"NA"	"NA"	"NA"	1	NA	21	purple not basket	purple not basket		purple_bowl	1	"c(""C"", """", ""N"")"		TRUE	FALSE	TRUE	FALSE	TRUE	bowl
Xg4TYATBTCC5Qs2rL	English	yellow_butterfly	1	feedback	scene2	"NA"	"NA"	"NA"	"NA"	1	NA	22	yellow not ring	yellow not ring		yellow_butterfly	1	"c(""C"", """", ""N"")"		TRUE	FALSE	TRUE	FALSE	FALSE	butterfly
Xg4TYATBTCC5Qs2rL	English	green_knife	1	feedback	scene1	"NA"	"NA"	"NA"	"NA"	1	NA	23	green item not truck	green item not truck		green_knife	1	"c(""C"", """", """", ""N"")"		TRUE	FALSE	TRUE	FALSE	FALSE	knife
Xg4TYATBTCC5Qs2rL	English	white_door	1	feedback	scene3	"NA"	"NA"	"NA"	"NA"	1	NA	24	white item not ring	white item not ring		white_door	1	"c(""C"", """", """", ""N"")"		TRUE	FALSE	TRUE	FALSE	FALSE	door
Xg4TYATBTCC5Qs2rL	English	black_shell	1	feedback	scene1	"NA"	"NA"	"NA"	"NA"	1	NA	25	black item not die	black item not die		black_shell	1	"c(""C"", """", """", ""N"")"		TRUE	FALSE	TRUE	FALSE	TRUE	shell
