gameid	Trial	condition	TrialType	itemID	TargetItem	UtteranceType	redUtterance	Sufficient_Property	Redundant_Property	NumDistractors	NumSameDistractors	Distractors_Noun	Distractors_RedProp	speakerMessages	listenerMessages	refExp	minimal	redundant	clickedType	clickedSize	clickedColor	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned	distractorOne	distractorTwo	distractorThree	distractorFour	distractorFive	directorViewOrdered	guesserViewOrdered
hKrHZbavxiMxqk73Z	1	color_diff_same_f	target	fork_sock	small_green_sock	size and color	redundant	size	color	5	3	diff	same	small green sock	NA	small green sock	0	1	sock	small	green	TRUE	TRUE	TRUE	FALSE	FALSE	big_green_sock	small_orange_fork	big_orange_sock	big_green_fork	big_green_fork	big_green_fork,big_orange_sock,small_green_sock,big_green_sock,small_orange_fork,big_green_fork	big_green_fork,small_orange_fork,small_green_sock,big_green_sock,big_green_fork,big_orange_sock
hKrHZbavxiMxqk73Z	2	size_basic_target_f	target	pan_magnifyingglass	small_yellow_magnifyingglass	size and color	redundant	color	size	3	1	"NA"	"NA"	small yellow magnifying glass	NA	small yellow magnifyingglass	0	1	magnifyingglass	small	yellow	TRUE	TRUE	TRUE	FALSE	FALSE	small_white_magnifyingglass	big_yellow_pan	big_white_magnifyingglass	NA	NA	small_white_magnifyingglass,big_yellow_pan,small_yellow_magnifyingglass,big_white_magnifyingglass	small_white_magnifyingglass,big_yellow_pan,small_yellow_magnifyingglass,big_white_magnifyingglass
hKrHZbavxiMxqk73Z	3	color_diff_diff_m	target	bed_coathanger	big_white_coathanger	size and color	redundant	size	color	5	1	diff	diff	big white hanger	NA	big white hanger	0	1	coathanger	big	white	TRUE	TRUE	TRUE	FALSE	FALSE	small_white_coathanger	big_yellow_bed	small_yellow_coathanger	small_yellow_bed	small_yellow_bed	big_white_coathanger,small_yellow_coathanger,big_yellow_bed,small_white_coathanger,small_yellow_bed,small_yellow_bed	big_white_coathanger,small_yellow_bed,small_white_coathanger,big_yellow_bed,small_yellow_coathanger,small_yellow_bed
hKrHZbavxiMxqk73Z	4	color_diff_diff_f	target	remote_spoon	small_orange_spoon	size and color	redundant	size	color	5	1	diff	diff	small orange spoon	NA	small orange spoon	0	1	spoon	small	orange	TRUE	TRUE	TRUE	FALSE	FALSE	big_orange_spoon	small_purple_remote	big_purple_spoon	big_purple_remote	big_purple_remote	big_purple_remote,big_purple_spoon,small_orange_spoon,big_purple_remote,small_purple_remote,big_orange_spoon	big_purple_remote,big_purple_spoon,small_purple_remote,big_orange_spoon,big_purple_remote,small_orange_spoon
hKrHZbavxiMxqk73Z	5	size_basic_filler_1_m	control	pencil_rug	big_yellow_rug	size and color	redundant	color	size	3	1	"NA"	"NA"	big yellow rug__thanks!	great job so far :d	big yellow rug	0	1	rug	big	yellow	TRUE	TRUE	TRUE	FALSE	FALSE	big_white_rug	small_white_pencil	small_yellow_rug	NA	NA	big_yellow_rug,small_yellow_rug,big_white_rug,small_white_pencil	big_white_rug,small_white_pencil,big_yellow_rug,small_yellow_rug
hKrHZbavxiMxqk73Z	6	color_basic_filler_2_m	control	microscope_drum	small_green_drum	size and color	redundant	size	color	3	1	"NA"	"NA"	small green drum	NA	small green drum	0	1	drum	small	green	TRUE	TRUE	TRUE	FALSE	FALSE	small_orange_microscope	big_orange_microscope	big_green_microscope	NA	NA	small_green_drum,small_orange_microscope,big_green_microscope,big_orange_microscope	big_orange_microscope,small_orange_microscope,small_green_drum,big_green_microscope
hKrHZbavxiMxqk73Z	7	size_basic_target_m	target	frame_balloon	small_red_balloon	size and color	redundant	color	size	3	1	"NA"	"NA"	small red balloon	NA	small red balloon	0	1	balloon	small	red	TRUE	TRUE	TRUE	FALSE	FALSE	small_yellow_balloon	big_red_frame	big_yellow_balloon	NA	NA	big_yellow_balloon,small_red_balloon,small_yellow_balloon,big_red_frame	big_red_frame,small_yellow_balloon,small_red_balloon,big_yellow_balloon
hKrHZbavxiMxqk73Z	8	color_same_diff_f	target	ornament_scarf	small_blue_scarf	size and color	redundant	size	color	5	1	same	diff	small blue scarf	NA	small blue scarf	0	1	scarf	small	blue	TRUE	TRUE	TRUE	FALSE	FALSE	big_blue_scarf	small_white_ornament	big_white_scarf	big_white_scarf	big_white_scarf	big_blue_scarf,big_white_scarf,small_blue_scarf,big_white_scarf,big_white_scarf,small_white_ornament	small_white_ornament,big_blue_scarf,big_white_scarf,big_white_scarf,big_white_scarf,small_blue_scarf
hKrHZbavxiMxqk73Z	9	size_diff_diff_m	target	lock_cake	big_orange_cake	size and color	redundant	color	size	5	1	diff	diff	big orange cake	NA	big orange cake	0	1	cake	big	orange	TRUE	TRUE	TRUE	FALSE	FALSE	big_green_cake	small_orange_lock	small_green_cake	small_green_lock	small_green_lock	small_green_lock,big_orange_cake,small_orange_lock,big_green_cake,small_green_lock,small_green_cake	small_green_lock,small_green_cake,small_orange_lock,small_green_lock,big_green_cake,big_orange_cake
hKrHZbavxiMxqk73Z	10	size_basic_filler_3_f	control	key_mouse	small_red_mouse	size and color	redundant	color	size	3	1	"NA"	"NA"	small red mouse	NA	small red mouse	0	1	mouse	small	red	TRUE	TRUE	TRUE	FALSE	FALSE	big_yellow_mouse	big_red_mouse	small_yellow_key	NA	NA	big_red_mouse,big_yellow_mouse,small_red_mouse,small_yellow_key	big_yellow_mouse,small_red_mouse,big_red_mouse,small_yellow_key
