gameId	language	stage	condition	alt1BasicLevel	alt1SuperLevel	alt2BasicLevel	alt2SuperLevel	listenerSelection	roundNumber	directorAllMessages	directorFirstMessage	guesserAllMessages	nameClickedObj	correct	words	sep	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned	gender	clickedType	clickedColor	target	noun_mentioned	color_mentioned
CkeeDJQs3b24kcEJ5	English	feedback	scene3	NA	NA	NA	NA	1	4	mug	mug	NA	white_mug	1	N	NA	FALSE	FALSE	TRUE	FALSE	FALSE	NA	mug	white	mug	1	0
CkeeDJQs3b24kcEJ5	English	feedback	scene4	NA	NA	NA	NA	1	5	blue telephone	blue telephone	NA	blue_phone	1	CN	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	phone	blue	phone	1	1
CkeeDJQs3b24kcEJ5	English	feedback	scene2	NA	NA	NA	NA	1	6	basket	basket	NA	purple_basket	1	N	NA	FALSE	FALSE	TRUE	FALSE	FALSE	NA	basket	purple	basket	1	0
CkeeDJQs3b24kcEJ5	English	feedback	scene2	NA	NA	NA	NA	1	10	door	door	NA	blue_door	1	N	NA	FALSE	FALSE	TRUE	FALSE	FALSE	NA	door	blue	door	1	0
CkeeDJQs3b24kcEJ5	English	feedback	scene4	NA	NA	NA	NA	1	11	black hammer	black hammer	NA	black_hammer	1	CN	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	hammer	black	hammer	1	1
CkeeDJQs3b24kcEJ5	English	feedback	scene2	NA	NA	NA	NA	1	12	dress	dress	NA	white_dress	1	N	NA	FALSE	FALSE	TRUE	FALSE	FALSE	NA	dress	white	dress	1	0
CkeeDJQs3b24kcEJ5	English	feedback	scene3	NA	NA	NA	NA	1	13	bed	bed	NA	red_bed	1	N	NA	FALSE	FALSE	TRUE	FALSE	FALSE	NA	bed	red	bed	1	0
CkeeDJQs3b24kcEJ5	English	feedback	scene2	NA	NA	NA	NA	1	14	ring	ring	NA	blue_ring	1	N	NA	FALSE	FALSE	TRUE	FALSE	FALSE	NA	ring	blue	ring	1	0
CkeeDJQs3b24kcEJ5	English	feedback	scene2	NA	NA	NA	NA	1	15	helicopter	helicopter	NA	orange_helicopter	1	N	NA	FALSE	FALSE	TRUE	FALSE	FALSE	NA	helicopter	orange	helicopter	1	0
CkeeDJQs3b24kcEJ5	English	feedback	scene2	NA	NA	NA	NA	1	16	comb	comb	NA	red_comb	1	N	NA	FALSE	FALSE	TRUE	FALSE	FALSE	NA	comb	red	comb	1	0
