gameid	Trial	TargetItem	UtteranceType	redUtterance	Sufficient_Property	Redundant_Property	NumDistractors	Distractors_Noun	Distractors_RedProp	Gender	SceneVariation	speakerMessages	listenerMessages	refExp_wrong	minimal	redundant	clickedType	clickedSize	clickedColor	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned
nXejqxLkiFbAPDZXp	2	small_white_ornament	size and color	redundant	size	color redundant	3	"NA"	"NA"	F	0.3333333333333333	bonjour__la petite boule de noel blanche__la plus petite des deux	re desolée	bonjour	0	1	ornament	small	white	TRUE	TRUE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	3	small_yellow_ruler	size and color	redundant	color	size redundant	5	same	diff	F	0.2	la plus petite en jaune__pas de soucis!__la regle	y'avait pas de notif sonore que ça a commencé c'est dommage__la règle ou la porte ?	la plus petite en jaune	0	1	ruler	small	yellow	TRUE	TRUE	FALSE	FALSE	TRUE
nXejqxLkiFbAPDZXp	4	big_red_bucket	color	minimal	color	size redundant	5	diff	same	M	0.2	le sceau rouge	oh l'interrupteur en rouge il est grave stylé	le sceau rouge	1	0	bucket	big	red	TRUE	FALSE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	5	small_yellow_comb	size and color	redundant	color	size redundant	3	"NA"	"NA"	M	0.3333333333333333	le plus petit peigne jaune		le plus petit peigne jaune	0	1	comb	small	yellow	TRUE	TRUE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	6	small_blue_crown	size and color	redundant	size	color redundant	5	same	diff	F	0.2	la plus petit couronne bleu__petite*		la plus petit couronne bleu	0	1	crown	small	blue	TRUE	TRUE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	8	big_purple_vase	size and color	redundant	size	color redundant	5	diff	same	M	0.2	quel couleur?__le plus gros vase violet oui!	incroyable__mmmh__j'dirais violet car y'en a plus	quel couleur?	0	1	vase	big	purple	TRUE	TRUE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	10	big_white_ring	size and color	redundant	color	size redundant	3	"NA"	"NA"	F	0.3333333333333333	hahah toi aussi!__la plus grosse bague en blanc	azy t'es super drole c'est trop bien	hahah toi aussi!	0	1	ring	big	white	TRUE	TRUE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	14	small_blue_clock	color	minimal	color	size redundant	5	same	same	F	0.2	le reveil bleu	tiens il est 8 heures 15	le reveil bleu	1	0	clock	small	blue	TRUE	FALSE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	15	small_white_napkin	color	minimal	color	size redundant	5	diff	diff	F	0.2	le mouchoir blanc		le mouchoir blanc	1	0	napkin	small	white	TRUE	FALSE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	16	big_white_phone	color	minimal	color	size redundant	5	same	same	M	0.2	ouf!__le vieux telephone blanc!	j'ai failli me tromper ?	ouf!	1	0	phone	big	white	TRUE	FALSE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	17	small_orange_spoon	size and color	redundant	size	color redundant	3	"NA"	"NA"	F	0.3333333333333333	non c'est plus qu'on en voit plus des telehpones comme ca!__la petite cuiellere orange	krkrkr pas faux	non c'est plus qu'on en voit plus des telephones comme ca!	0	1	spoon	small	orange	TRUE	TRUE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	18	small_blue_calculator	size and color	redundant	size	color redundant	5	diff	diff	F	0.2	plus petite calculette bleu	après en même temps autant c'est drole a utiliser autant c'est pas le plus simple	plus petite calculette bleu	0	1	calculator	small	blue	TRUE	TRUE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	19	big_blue_bed	size and color	redundant	color	size redundant	5	same	diff	M	0.2	le plus grand lit bleu		le plus grand lit bleu	0	1	bed	big	blue	TRUE	TRUE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	20	small_purple_airplane	color	minimal	color	size redundant	3	"NA"	"NA"	M	0.3333333333333333	oui ca m étonne que ca change pas__l'avion violet	ça m'étonne que j'sois pas passée chef tiens	oui ca m étonne que ca change pas	1	0	airplane	small	purple	TRUE	FALSE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	21	small_green_sock	size and color	redundant	size	color redundant	5	same	same	F	0.2	la petite chausette verte	oh la chaussette__elle a été utilisée elle	la petite chaussette verte	0	1	sock	small	green	TRUE	TRUE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	22	small_orange_remote	color	minimal	color	size redundant	5	diff	same	F	0.2	telecommande orange		telecommande orange	1	0	remote	small	orange	TRUE	FALSE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	23	small_red_mug	size and color	redundant	color	size redundant	3	"NA"	"NA"	F	0.3333333333333333	petite tasse rouge	la tasse elle a subi 25 modifications j'crois__elle est tellement pixelisée	petite tasse rouge	0	1	mug	small	red	TRUE	TRUE	TRUE	FALSE	FALSE
nXejqxLkiFbAPDZXp	25	big_blue_rug	size and color	redundant	size	color redundant	5	same	diff	M	0.2	le plus grand tapis bleu		le plus grand tapis bleu	0	1	rug	big	blue	TRUE	TRUE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	26	small_yellow_mouse	color	minimal	color	size redundant	3	"NA"	"NA"	F	0.3333333333333333	la souris jaune		la souriss jaune	1	0	mouse	small	yellow	TRUE	FALSE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	27	big_blue_coathanger	size and color	redundant	size	color redundant	5	same	same	M	0.2	le plus grand cintre bleu		le plus grand cintre bleu	0	1	coathanger	big	blue	TRUE	TRUE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	28	big_orange_piano	size and color	redundant	color	size redundant	3	"NA"	"NA"	M	0.3333333333333333	le plus grand piano orange	c'est pas du marron ?	le plus grand piano orange	0	1	piano	big	orange	TRUE	TRUE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	32	big_green_drum	size and color	redundant	size	color redundant	5	diff	diff	M	0.2	le grand tambour vert__merci c'etait fun!__:d	et bah__vu que c'est le dernier tour j'en profite__c'était court mais grave drôle :')__merci a toi aussi !	le grand tambour vert	0	1	drum	big	green	TRUE	TRUE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	3	small_red_ruler	size and color	redundant	size	color redundant	3	"NA"	"NA"	F	0.3333333333333333	c'est la petite règle rouge		c'est la petite règle rouge	0	1	ruler	small	red	TRUE	TRUE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	4	big_purple_truck	size and color	redundant	size	color redundant	5	diff	same	M	0.2	c'est le camion violet, grande image		c'est le camion violet, grande image	0	1	truck	big	purple	TRUE	TRUE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	5	small_white_frame	size and color	redundant	size	color redundant	3	"NA"	"NA"	M	0.3333333333333333	c'est le cadre petit cadre blanc		c'est le cadre petit cadre blanc	0	1	frame	small	white	TRUE	TRUE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	6	small_blue_scarf	color	minimal	color	size redundant	5	diff	diff	F	0.2	c'est l'écharpe bleu		c'est l'écharpe bleu	1	0	scarf	small	blue	TRUE	FALSE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	8	small_yellow_mouse	size and color	redundant	size	color redundant	3	"NA"	"NA"	F	0.3333333333333333	c'est la petite souris jaune		c'est la petite souriss jaune	0	1	mouse	small	yellow	TRUE	TRUE	TRUE	FALSE	TRUE
