gameId	language	stage	condition	alt1BasicLevel	alt1SuperLevel	alt2BasicLevel	alt2SuperLevel	listenerSelection	roundNumber	directorAllMessages	directorFirstMessage	guesserAllMessages	nameClickedObj	correct	words	sep	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned	gender
CkeeDJQs3b24kcEJ5	English	feedback	scene3	NA	NA	NA	NA	1	4	mug	mug		white_mug	1	N		FALSE	FALSE	TRUE	FALSE	FALSE	NA
CkeeDJQs3b24kcEJ5	English	feedback	scene4	NA	NA	NA	NA	1	5	blue telephone	blue telephone		blue_phone	1	CN		TRUE	FALSE	TRUE	TRUE	FALSE	NA
CkeeDJQs3b24kcEJ5	English	feedback	scene2	NA	NA	NA	NA	1	6	basket	basket		purple_basket	1	N		FALSE	FALSE	TRUE	FALSE	TRUE	NA
CkeeDJQs3b24kcEJ5	English	feedback	scene2	NA	NA	NA	NA	1	10	door	door		blue_door	1	N		FALSE	FALSE	TRUE	FALSE	FALSE	NA
CkeeDJQs3b24kcEJ5	English	feedback	scene4	NA	NA	NA	NA	1	11	black hammer	black hammer		black_hammer	1	CN		TRUE	FALSE	TRUE	FALSE	TRUE	NA
CkeeDJQs3b24kcEJ5	English	feedback	scene2	NA	NA	NA	NA	1	12	dress	dress		white_dress	1	N		FALSE	FALSE	TRUE	FALSE	FALSE	NA
CkeeDJQs3b24kcEJ5	English	feedback	scene3	NA	NA	NA	NA	1	13	bed	bed		red_bed	1	N		FALSE	FALSE	TRUE	FALSE	FALSE	NA
CkeeDJQs3b24kcEJ5	English	feedback	scene2	NA	NA	NA	NA	1	14	ring	ring		blue_ring	1	N		FALSE	FALSE	TRUE	FALSE	FALSE	NA
CkeeDJQs3b24kcEJ5	English	feedback	scene2	NA	NA	NA	NA	1	15	helicopter	helicopter		orange_helicopter	1	N		FALSE	FALSE	TRUE	FALSE	FALSE	NA
CkeeDJQs3b24kcEJ5	English	feedback	scene2	NA	NA	NA	NA	1	16	comb	comb		red_comb	1	N		FALSE	FALSE	TRUE	FALSE	FALSE	NA
CkeeDJQs3b24kcEJ5	English	feedback	scene3	NA	NA	NA	NA	1	19	guitar	guitar		yellow_guitar	1	N		FALSE	FALSE	TRUE	FALSE	TRUE	NA
CkeeDJQs3b24kcEJ5	English	feedback	scene2	NA	NA	NA	NA	1	20	robot	robot		green_robot	1	N		FALSE	FALSE	TRUE	FALSE	FALSE	NA
CkeeDJQs3b24kcEJ5	English	feedback	scene4	NA	NA	NA	NA	1	21	orange shell	orange shell		orange_shell	1	CN		TRUE	FALSE	TRUE	FALSE	TRUE	NA
CkeeDJQs3b24kcEJ5	English	feedback	scene1	NA	NA	NA	NA	1	23	black suitcase	black suitcase		black_luggage	1	CN		TRUE	FALSE	TRUE	FALSE	TRUE	NA
CkeeDJQs3b24kcEJ5	English	feedback	scene2	NA	NA	NA	NA	1	27	knife	knife		orange_knife	1	N		FALSE	FALSE	TRUE	FALSE	FALSE	NA
CkeeDJQs3b24kcEJ5	English	feedback	scene1	NA	NA	NA	NA	1	28	blue calculator	blue calculator		blue_calculator	1	CN		TRUE	FALSE	TRUE	FALSE	TRUE	NA
CkeeDJQs3b24kcEJ5	English	feedback	scene2	NA	NA	NA	NA	1	29	dice	dice		orange_die	1	N		FALSE	FALSE	FALSE	FALSE	FALSE	NA
CkeeDJQs3b24kcEJ5	English	feedback	scene3	NA	NA	NA	NA	1	30	flower	flower		red_flower	1	N		FALSE	FALSE	TRUE	FALSE	FALSE	NA
CkeeDJQs3b24kcEJ5	English	feedback	scene1	NA	NA	NA	NA	1	31	white scarf	white scarf		white_scarf	1	CN		TRUE	FALSE	TRUE	FALSE	TRUE	NA
CkeeDJQs3b24kcEJ5	English	feedback	scene3	NA	NA	NA	NA	1	33	drum	drum		orange_drum	1	N		FALSE	FALSE	TRUE	FALSE	FALSE	NA
CkeeDJQs3b24kcEJ5	English	feedback	scene4	NA	NA	NA	NA	1	36	black lorry	black lorry		black_truck	1	CN		TRUE	FALSE	FALSE	FALSE	TRUE	NA
