gameId	language	stage	condition	alt1BasicLevel	alt1SuperLevel	alt2BasicLevel	alt2SuperLevel	listenerSelection	roundNumber	directorAllMessages	directorFirstMessage	guesserAllMessages	nameClickedObj	correct	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned	gender	clickedColor	clickedType	clickedSize	noun_mentioned	color_mentioned
CkeeDJQs3b24kcEJ5	English	feedback	scene3	NA	NA	NA	NA	1	4	mug	mug	NA	white_mug	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA	white	mug	0	1	0
CkeeDJQs3b24kcEJ5	English	feedback	scene4	NA	NA	NA	NA	1	5	blue telephone	blue telephone	NA	blue_phone	1	TRUE	FALSE	TRUE	FALSE	FALSE	NA	blue	phone	0	1	1
CkeeDJQs3b24kcEJ5	English	feedback	scene2	NA	NA	NA	NA	1	6	basket	basket	NA	purple_basket	1	FALSE	FALSE	TRUE	FALSE	TRUE	NA	purple	basket	0	1	0
CkeeDJQs3b24kcEJ5	English	feedback	scene2	NA	NA	NA	NA	1	10	door	door	NA	blue_door	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA	blue	door	0	1	0
CkeeDJQs3b24kcEJ5	English	feedback	scene4	NA	NA	NA	NA	1	11	black hammer	black hammer	NA	black_hammer	1	TRUE	FALSE	TRUE	FALSE	TRUE	NA	black	hammer	0	1	1
CkeeDJQs3b24kcEJ5	English	feedback	scene2	NA	NA	NA	NA	1	12	dress	dress	NA	white_dress	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA	white	dress	0	1	0
CkeeDJQs3b24kcEJ5	English	feedback	scene3	NA	NA	NA	NA	1	13	bed	bed	NA	red_bed	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA	red	bed	0	1	0
CkeeDJQs3b24kcEJ5	English	feedback	scene2	NA	NA	NA	NA	1	14	ring	ring	NA	blue_ring	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA	blue	ring	0	1	0
CkeeDJQs3b24kcEJ5	English	feedback	scene2	NA	NA	NA	NA	1	15	helicopter	helicopter	NA	orange_helicopter	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA	orange	helicopter	0	1	0
CkeeDJQs3b24kcEJ5	English	feedback	scene2	NA	NA	NA	NA	1	16	comb	comb	NA	red_comb	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA	red	comb	0	1	0
CkeeDJQs3b24kcEJ5	English	feedback	scene3	NA	NA	NA	NA	1	19	guitar	guitar	NA	yellow_guitar	1	FALSE	FALSE	TRUE	FALSE	TRUE	NA	yellow	guitar	0	1	0
CkeeDJQs3b24kcEJ5	English	feedback	scene2	NA	NA	NA	NA	1	20	robot	robot	NA	green_robot	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA	green	robot	0	1	0
CkeeDJQs3b24kcEJ5	English	feedback	scene4	NA	NA	NA	NA	1	21	orange shell	orange shell	NA	orange_shell	1	TRUE	FALSE	TRUE	FALSE	TRUE	NA	orange	shell	0	1	1
CkeeDJQs3b24kcEJ5	English	feedback	scene1	NA	NA	NA	NA	1	23	black suitcase	black suitcase	NA	black_luggage	1	TRUE	FALSE	TRUE	FALSE	TRUE	NA	black	luggage	0	1	1
CkeeDJQs3b24kcEJ5	English	feedback	scene2	NA	NA	NA	NA	1	27	knife	knife	NA	orange_knife	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA	orange	knife	0	1	0
CkeeDJQs3b24kcEJ5	English	feedback	scene1	NA	NA	NA	NA	1	28	blue calculator	blue calculator	NA	blue_calculator	1	TRUE	FALSE	TRUE	FALSE	TRUE	NA	blue	calculator	0	1	1
CkeeDJQs3b24kcEJ5	English	feedback	scene2	NA	NA	NA	NA	1	29	dice	dice	NA	orange_die	1	FALSE	FALSE	FALSE	FALSE	FALSE	NA	orange	die	0	0	0
CkeeDJQs3b24kcEJ5	English	feedback	scene3	NA	NA	NA	NA	1	30	flower	flower	NA	red_flower	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA	red	flower	0	1	0
CkeeDJQs3b24kcEJ5	English	feedback	scene1	NA	NA	NA	NA	1	31	white scarf	white scarf	NA	white_scarf	1	TRUE	FALSE	TRUE	FALSE	TRUE	NA	white	scarf	0	1	1
CkeeDJQs3b24kcEJ5	English	feedback	scene3	NA	NA	NA	NA	1	33	drum	drum	NA	orange_drum	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA	orange	drum	0	1	0
CkeeDJQs3b24kcEJ5	English	feedback	scene4	NA	NA	NA	NA	1	36	black lorry	black lorry	NA	black_truck	1	TRUE	FALSE	TRUE	FALSE	TRUE	NA	black	truck	0	1	1
CkeeDJQs3b24kcEJ5	English	feedback	scene2	NA	NA	NA	NA	1	37	green fish	green fish	NA	green_fish	1	TRUE	FALSE	TRUE	FALSE	FALSE	NA	green	fish	0	1	1
CkeeDJQs3b24kcEJ5	English	feedback	scene4	NA	NA	NA	NA	1	38	purple calendar	purple calendar	NA	purple_calendar	1	TRUE	FALSE	TRUE	FALSE	TRUE	NA	purple	calendar	0	1	1
CkeeDJQs3b24kcEJ5	English	feedback	scene1	NA	NA	NA	NA	1	44	purple padlock	purple padlock	NA	purple_lock	1	TRUE	FALSE	TRUE	FALSE	TRUE	NA	purple	lock	0	1	1
CkeeDJQs3b24kcEJ5	English	feedback	scene4	NA	NA	NA	NA	1	45	blue fence	blue fence	NA	blue_fence	1	TRUE	FALSE	TRUE	FALSE	FALSE	NA	blue	fence	0	1	1
CkeeDJQs3b24kcEJ5	English	feedback	scene1	NA	NA	NA	NA	1	47	red belt	red belt	NA	red_belt	1	TRUE	FALSE	TRUE	FALSE	FALSE	NA	red	belt	0	1	1
CkeeDJQs3b24kcEJ5	English	feedback	scene4	NA	NA	NA	NA	1	48	purple sock	purple sock	NA	purple_sock	1	TRUE	FALSE	TRUE	FALSE	FALSE	NA	purple	sock	0	1	1
