gameId	language	stage	condition	alt1BasicLevel	alt1SuperLevel	alt2BasicLevel	alt2SuperLevel	listenerSelection	roundNumber	directorAllMessages	directorFirstMessage	guesserAllMessages	nameClickedObj	correct	words	sep	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned
i9kH9EnohLzqAaboq	Spanish	feedback	supSuff	motorcycle	vehicle	pig	animal	1	1	tiene pétalos.	tiene pétalos.		rose	1	"c("""", """")"		FALSE	FALSE	FALSE	TRUE	TRUE
i9kH9EnohLzqAaboq	Spanish	feedback	color22	"NA"	"NA"	"NA"	"NA"	1	2	es diferente.	es diferente.		small_purple_flower	1	"c("""", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	color21	"NA"	"NA"	"NA"	"NA"	1	3	es de otro color.	es de otro color.		big_pink_weddingcake	1	"c("""", """", """", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	supSuff	chips	snack	bookcase	furniture	1	4	tiene pétalos.	tiene pétalos.		daisy	1	"c("""", """")"		FALSE	FALSE	FALSE	TRUE	TRUE
i9kH9EnohLzqAaboq	Spanish	feedback	size21	"NA"	"NA"	"NA"	"NA"	1	5	es pequeño.	es pequeño.		small_pink_bucket	1	"c("""", """")"		FALSE	TRUE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	size42	"NA"	"NA"	"NA"	"NA"	1	6	es grande.	es grande.		big_blue_butterfly	1	"c("""", """")"		FALSE	TRUE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	color32	"NA"	"NA"	"NA"	"NA"	1	7	es de otro color.	es de otro color.		small_orange_pingpongball	1	"c("""", """", """", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	basicSuffType2	wardrobe	furniture	flower	plant	1	8	se puede sentar en ella.	se puede sentar en ella.		picnicTable	1	"c("""", """", """", """", """")"		FALSE	FALSE	FALSE	TRUE	TRUE
i9kH9EnohLzqAaboq	Spanish	feedback	supSuff	ivy	plant	popcorn	snack	1	9	puede nadar.	puede nadar.		swordFish	1	"c("""", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	subNec	candy	snack	cookies	snack	1	10	son pequeños y no hay azules.	son pequeños y no hay azules.		skittles	1	"c("""", """", """", """", """", """")"		TRUE	TRUE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	size22	"NA"	"NA"	"NA"	"NA"	1	11	es pequeño.	es pequeño.		small_green_bracelet	1	"c("""", """")"		FALSE	TRUE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	supSuff	table	furniture	motorcycle	vehicle	1	12	está vivo.	está vivo.		blackBear	1	"c("""", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	basicSuffType2	cookies	snack	shirt	clothing	1	13	son de muchos colores.	son de muchos colores.		gummyBears	1	"c("""", """", """", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	color22	"NA"	"NA"	"NA"	"NA"	1	14	es de otro color.	es de otro color.		big_pink_phone	1	"c("""", """", """", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	size44	"NA"	"NA"	"NA"	"NA"	1	15	es la más pequeña.	es la más pequeña.		small_black_turtle	1	"c("""", ""A"", """", """")"		FALSE	TRUE	FALSE	TRUE	TRUE
i9kH9EnohLzqAaboq	Spanish	feedback	size32	"NA"	"NA"	"NA"	"NA"	1	16	es el más pequeño.	es el más pequeño.		small_red_pepper	1	"c("""", ""A"", """", """")"		FALSE	TRUE	FALSE	TRUE	TRUE
i9kH9EnohLzqAaboq	Spanish	feedback	basicSuffType2	bird	animal	bed	furniture	1	17	es peludo.	es peludo.		polarBear	1	"c("""", """")"		FALSE	FALSE	FALSE	TRUE	TRUE
i9kH9EnohLzqAaboq	Spanish	feedback	subNec	bird	animal	bear	animal	1	18	hay muchos en la ciudad.	hay muchos en la ciudad.		pigeon	1	"c("""", """", """", ""A"", """")"		FALSE	FALSE	FALSE	TRUE	TRUE
i9kH9EnohLzqAaboq	Spanish	feedback	basicSuffType1	lobster	animal	squirrel	animal	1	19	es una mascota.	es una mascota.		pug	1	"c("""", """", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	size41	"NA"	"NA"	"NA"	"NA"	1	20	es el más pequeño.	es el más pequeño.		small_black_comb	1	"c("""", ""A"", """", """")"		FALSE	TRUE	FALSE	TRUE	TRUE
i9kH9EnohLzqAaboq	Spanish	feedback	size31	"NA"	"NA"	"NA"	"NA"	1	21	es morado y grande.	es morado y grande.		big_purple_coathanger	1	"c("""", ""C"", """", """")"		TRUE	TRUE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	basicSuffType2	ivy	plant	dress	clothing	1	22	tiene dos colores.	tiene dos colores.		tulip	1	"c("""", """", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	basicSuffType1	pig	animal	bison	animal	1	23	puede nadar.	puede nadar.		goldFish	1	"c("""", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	subNec	candy	snack	chips	snack	1	24	es redondeado y los hay de muchos colores.	es redondeado y los hay de muchos colores.		jellyBeans	1	"c("""", """", """", ""A"", """", """", """", """")"		FALSE	FALSE	FALSE	TRUE	TRUE
i9kH9EnohLzqAaboq	Spanish	feedback	size32	"NA"	"NA"	"NA"	"NA"	1	25	el más grande.	el más grande.		big_blue_candle	1	"c(""A"", """", """")"		FALSE	TRUE	FALSE	TRUE	TRUE
i9kH9EnohLzqAaboq	Spanish	feedback	subNec	bear	animal	snake	animal	1	26	es el más grande.	es el más grande.		grizzlyBear	1	"c("""", ""A"", """", """")"		FALSE	TRUE	FALSE	TRUE	TRUE
i9kH9EnohLzqAaboq	Spanish	feedback	basicSuffType1	pretzels	snack	cookies	snack	1	27	es de muchos.	es de muchos.		mnMs	1	"c("""", """", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	color31	"NA"	"NA"	"NA"	"NA"	1	28	es de otro color.	es de otro color.		small_blue_tack	1	"c("""", """", """", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	subNec	fish	animal	dog	animal	1	29	es de colores.	es de colores.		clownFish	1	"c("""", """", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	color43	"NA"	"NA"	"NA"	"NA"	1	30	es de otro color.	es de otro color.		small_blue_cap	1	"c("""", """", """", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	basicSuffType2	dress	clothing	train	vehicle	1	31	es una prenda de vestir con mangas.	es una prenda de vestir con mangas.		dressShirt	1	"c("""", """", """", """", """", """", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	basicSuffType2	rhino	animal	ivy	plant	1	32	es una mascota.	es una mascota.		dalmatian	1	"c("""", """", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	subNec	bird	animal	hamster	animal	1	33	es un ave grande.	es un ave grande.		eagle	1	"c("""", """", """", """")"		FALSE	TRUE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	color31	"NA"	"NA"	"NA"	"NA"	1	34	es de otro color.	es de otro color.		small_red_scarf	1	"c("""", """", """", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	color33	"NA"	"NA"	"NA"	"NA"	1	35	es de otro color.	es de otro color.		big_purple_stapler	1	"c("""", """", """", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	color33	"NA"	"NA"	"NA"	"NA"	1	36	es de otro color.	es de otro color.		small_yellow_shoe	1	"c("""", """", """", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	basicSuffType1	firetruck	vehicle	ambulance	vehicle	1	37	es un vehiculo familiar,	es un vehiculo familiar,		minivan	1	"c("""", """", """", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	size44	"NA"	"NA"	"NA"	"NA"	1	38	es el más grande.	es el más grande.		big_red_yarn	1	"c("""", ""A"", """", """")"		FALSE	TRUE	FALSE	TRUE	TRUE
i9kH9EnohLzqAaboq	Spanish	feedback	supSuff	rosemary	plant	bookcase	furniture	1	39	es un medio de trasporte.	es un medio de trasporte.		sportsCar	1	"c("""", """", """", """", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	supSuff	flower	plant	train	vehicle	1	40	es de madera.	es de madera.		coffeeTable	1	"c("""", """", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	basicSuffType1	gloves	clothing	socks	clothing	1	41	cubre el torso.	cubre el torso.		poloShirt	1	"c("""", ""A"", """")"		FALSE	FALSE	FALSE	TRUE	TRUE
i9kH9EnohLzqAaboq	Spanish	feedback	basicSuffType2	fish	animal	bookcase	furniture	1	42	es una mascota.	es una mascota.		husky	1	"c("""", """", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	supSuff	popcorn	snack	dress	clothing	1	43	es un ser viviente.	es un ser viviente.		catfish	1	"c("""", """", """", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	size42	"NA"	"NA"	"NA"	"NA"	1	44	es el más pequeño.	es el más pequeño.		small_pink_balloon	1	"c("""", ""A"", """", """")"		FALSE	TRUE	FALSE	TRUE	TRUE
i9kH9EnohLzqAaboq	Spanish	feedback	color42	"NA"	"NA"	"NA"	"NA"	1	45	es de diferente color,	es de diferente color,		small_black_book	1	"c("""", """", """", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	subNec	dog	animal	kitten	animal	1	46	es un canino con nlos orejas puntiagudas.	es un canino con nlos orejas puntiagudas.		germanShepherd	1	"c("""", """", """", """", """", """", """")"		FALSE	FALSE	FALSE	TRUE	TRUE
i9kH9EnohLzqAaboq	Spanish	feedback	supSuff	ambulance	vehicle	rosemary	plant	1	47	es un ave.	es un ave.		parrot	1	"c("""", """", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	color42	"NA"	"NA"	"NA"	"NA"	1	48	es de diferente color.	es de diferente color.		small_red_bellpepper	1	"c("""", """", """", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	basicSuffType2	socks	clothing	lamp	furniture	1	49	cubre el torso.	cubre el torso.		hawaiiShirt	1	"c("""", ""A"", """")"		FALSE	FALSE	FALSE	TRUE	TRUE
i9kH9EnohLzqAaboq	Spanish	feedback	color21	"NA"	"NA"	"NA"	"NA"	1	50	es de diferente color.	es de diferente color.		big_orange_billiardball	1	"c("""", """", """", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	color44	"NA"	"NA"	"NA"	"NA"	1	51	es de diferente color.	es de diferente color.		small_blue_rug	1	"c("""", """", """", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	color32	"NA"	"NA"	"NA"	"NA"	1	52	es de diferente color.	es de diferente color.		small_red_toothbrush	1	"c("""", """", """", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	color44	"NA"	"NA"	"NA"	"NA"	1	53	es de diferente color.	es de diferente color.		small_brown_belt	1	"c("""", """", """", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	basicSuffType2	ambulance	vehicle	bird	animal	1	54	es un vehiculo sin techo.	es un vehiculo sin techo.		convertible	1	"c("""", """", """", """", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	size33	"NA"	"NA"	"NA"	"NA"	1	55	es el más pequeño.	es el más pequeño.		small_grey_rock	1	"c("""", ""A"", """", """")"		FALSE	TRUE	FALSE	TRUE	TRUE
i9kH9EnohLzqAaboq	Spanish	feedback	subNec	bear	animal	kitten	animal	1	56	es bicolor,	es bicolor,		pandaBear	1	"c("""", """")"		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	size22	"NA"	"NA"	"NA"	"NA"	1	57	es el más grande.	es el más grande.		big_yellow_napkin	1	"c("""", ""A"", """", """")"		FALSE	TRUE	FALSE	TRUE	TRUE
