gameId	language	stage	condition	alt1BasicLevel	alt1SuperLevel	alt2BasicLevel	alt2SuperLevel	listenerSelection	roundNumber	directorAllMessages	directorFirstMessage	guesserAllMessages	nameClickedObj	correct	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned	words	sep
v2J2BjboP65oSJMoy	Spanish	feedback	basicSuffType2	horse	animal	bathrobe	clothing	1	1	white o blanco	white o blanco		polarBear	1	TRUE	FALSE	FALSE	TRUE	TRUE	"c("""", """", ""C"")"	
v2J2BjboP65oSJMoy	Spanish	feedback	size22	"NA"	"NA"	"NA"	"NA"	1	2	mas pequeño or smaller	mas pequeño or smaller		small_orange_billiardball	1	FALSE	TRUE	FALSE	TRUE	FALSE	"c("""", ""S"", """", """")"	
v2J2BjboP65oSJMoy	Spanish	feedback	size44	"NA"	"NA"	"NA"	"NA"	1	3	bigger or mas grande	bigger or mas grande		big_grey_rock	1	FALSE	TRUE	FALSE	TRUE	FALSE	"c("""", """", """", ""S"")"	
v2J2BjboP65oSJMoy	Spanish	feedback	supSuff	bed	furniture	pottedPlant	plant	1	4	wheels o ruedas	wheels o ruedas		suv	1	FALSE	FALSE	FALSE	TRUE	TRUE	"c("""", """", """")"	
v2J2BjboP65oSJMoy	Spanish	feedback	color21	"NA"	"NA"	"NA"	"NA"	1	5	light brown o cafe claro	light brown o cafe claro		small_brown_belt	1	TRUE	FALSE	FALSE	TRUE	TRUE	"c("""", """", """", ""C"", """")"	
v2J2BjboP65oSJMoy	Spanish	feedback	supSuff	grasses	plant	pretzels	snack	1	6	blue o azul	blue o azul		hawaiiShirt	1	TRUE	FALSE	FALSE	TRUE	FALSE	"c("""", """", ""C"")"	
v2J2BjboP65oSJMoy	Spanish	feedback	color42	"NA"	"NA"	"NA"	"NA"	1	7	blue o azul	blue o azul		big_blue_scarf	1	TRUE	FALSE	FALSE	TRUE	FALSE	"c("""", """", ""C"")"	
v2J2BjboP65oSJMoy	Spanish	feedback	subNec	dog	animal	hamster	animal	1	8	husky dog	husky dog		husky	1	FALSE	FALSE	FALSE	TRUE	FALSE	"c("""", """")"	
v2J2BjboP65oSJMoy	Spanish	feedback	color42	"NA"	"NA"	"NA"	"NA"	1	9	red o rojo	red o rojo		big_red_toothbrush	1	TRUE	FALSE	FALSE	TRUE	FALSE	"c("""", """", ""C"")"	
v2J2BjboP65oSJMoy	Spanish	feedback	color21	"NA"	"NA"	"NA"	"NA"	1	10	white o blanco	white o blanco		small_white_phone	1	TRUE	FALSE	FALSE	TRUE	TRUE	"c("""", """", ""C"")"	
v2J2BjboP65oSJMoy	Spanish	feedback	subNec	dog	animal	hamster	animal	1	11	pug	pug		pug	1	FALSE	FALSE	FALSE	TRUE	FALSE		
v2J2BjboP65oSJMoy	Spanish	feedback	size22	"NA"	"NA"	"NA"	"NA"	1	12	smaller	smaller		small_blue_tack	1	FALSE	FALSE	FALSE	TRUE	FALSE		
v2J2BjboP65oSJMoy	Spanish	feedback	subNec	dog	animal	kitten	animal	1	13	dalmatian or dalmata	dalmatian or dalmata		dalmatian	1	FALSE	FALSE	FALSE	TRUE	FALSE	"c("""", """", """")"	
v2J2BjboP65oSJMoy	Spanish	feedback	color32	"NA"	"NA"	"NA"	"NA"	1	14	purple o morado	purple o morado		small_purple_hairdryer	1	TRUE	FALSE	FALSE	TRUE	FALSE	"c("""", """", ""C"")"	
v2J2BjboP65oSJMoy	Spanish	feedback	size43	"NA"	"NA"	"NA"	"NA"	1	15	bigger or mas grande	bigger or mas grande		big_pink_teacup	1	FALSE	TRUE	FALSE	TRUE	FALSE	"c("""", """", """", ""S"")"	
v2J2BjboP65oSJMoy	Spanish	feedback	basicSuffType1	grasses	plant	ivy	plant	1	16	girasol or sunflower	girasol or sunflower		sunflower	1	FALSE	FALSE	FALSE	TRUE	FALSE	"c("""", """", """")"	
v2J2BjboP65oSJMoy	Spanish	feedback	size42	"NA"	"NA"	"NA"	"NA"	1	17	bigger green pepper	bigger green pepper		big_green_pepper	1	FALSE	FALSE	FALSE	TRUE	FALSE	"c("""", """", """")"	
v2J2BjboP65oSJMoy	Spanish	feedback	basicSuffType1	squirrel	animal	bear	animal	1	18	bald eagle	bald eagle		eagle	1	FALSE	FALSE	FALSE	TRUE	FALSE	"c("""", """")"	
v2J2BjboP65oSJMoy	Spanish	feedback	basicSuffType1	wardrobe	furniture	bed	furniture	1	19	table	table		diningTable	1	FALSE	FALSE	FALSE	TRUE	FALSE		
v2J2BjboP65oSJMoy	Spanish	feedback	color33	"NA"	"NA"	"NA"	"NA"	1	20	brown	brown		small_brown_jacket	1	FALSE	FALSE	FALSE	TRUE	FALSE		
v2J2BjboP65oSJMoy	Spanish	feedback	basicSuffType2	snake	animal	bed	furniture	1	21	hummingbird	hummingbird		hummingBird	1	FALSE	FALSE	FALSE	TRUE	FALSE		
v2J2BjboP65oSJMoy	Spanish	feedback	basicSuffType2	elephant	animal	dress	clothing	1	22	clown fish	clown fish		clownFish	1	FALSE	FALSE	FALSE	TRUE	FALSE	"c("""", """")"	
v2J2BjboP65oSJMoy	Spanish	feedback	subNec	table	furniture	table	furniture	1	23	table	table		coffeeTable	1	FALSE	FALSE	FALSE	TRUE	FALSE		
v2J2BjboP65oSJMoy	Spanish	feedback	subNec	flower	plant	grasses	plant	1	24	rose	rose		rose	1	FALSE	FALSE	FALSE	TRUE	FALSE		
v2J2BjboP65oSJMoy	Spanish	feedback	basicSuffType2	bison	animal	pretzels	snack	1	25	bear	bear		blackBear	1	FALSE	FALSE	FALSE	TRUE	FALSE		
v2J2BjboP65oSJMoy	Spanish	feedback	subNec	shirt	clothing	gloves	clothing	1	26	t shirt	t shirt		tShirt	1	FALSE	FALSE	FALSE	TRUE	FALSE	"c("""", """")"	
v2J2BjboP65oSJMoy	Spanish	feedback	color43	"NA"	"NA"	"NA"	"NA"	1	27	green	green		big_green_guitar	1	FALSE	FALSE	FALSE	TRUE	FALSE		
v2J2BjboP65oSJMoy	Spanish	feedback	size32	"NA"	"NA"	"NA"	"NA"	1	28	bigger pink bicycle	bigger pink bicycle		big_purple_bike	1	FALSE	FALSE	FALSE	TRUE	FALSE	"c("""", """", """")"	
v2J2BjboP65oSJMoy	Spanish	feedback	basicSuffType2	ambulance	vehicle	ivy	plant	1	29	car	car		sportsCar	1	FALSE	FALSE	FALSE	TRUE	FALSE		
v2J2BjboP65oSJMoy	Spanish	feedback	supSuff	candy	snack	bathrobe	clothing	1	30	fish	fish		goldFish	1	FALSE	FALSE	FALSE	TRUE	FALSE		
v2J2BjboP65oSJMoy	Spanish	feedback	basicSuffType1	chips	snack	cookies	snack	1	31	skittles	skittles		skittles	1	FALSE	FALSE	FALSE	TRUE	FALSE		
v2J2BjboP65oSJMoy	Spanish	feedback	subNec	shirt	clothing	bathrobe	clothing	1	32	polo shirt	polo shirt		poloShirt	1	FALSE	FALSE	FALSE	TRUE	FALSE	"c("""", """")"	
v2J2BjboP65oSJMoy	Spanish	feedback	size43	"NA"	"NA"	"NA"	"NA"	1	33	smaller	smaller		small_red_yarn	1	FALSE	FALSE	FALSE	TRUE	FALSE		
