gameId	language	name	stage	condition	alt1BasicLevel	alt1SuperLevel	alt2BasicLevel	alt2SuperLevel	listenerSelection	imageType	roundNumber	directorAllMessages	directorFirstMessage	guesserAllMessages	nameClickedObj	correct	words	sep	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned	gender	target
K6HsQtxkc3dnokJJY	BCS	convertible	feedback	basicSuffType2	ambulance	vehicle	pretzels	snack	1	degenetal_stimuli	1	sivo i ima kolica__i izgleda lijepo	sivo i ima kolica		convertible	1	"c("""", """", """", """")"		FALSE	FALSE	FALSE	TRUE	FALSE	NA	convertible
K6HsQtxkc3dnokJJY	BCS	orange_basket	feedback	scene2	"NA"	"NA"	"NA"	"NA"	1	pophristic_stimuli	2	narančasto i nose se stvari u tome	narančasto i nose se stvari u tome		orange_basket	1	"c(""C"", """", """", """", """", """", """")"		TRUE	FALSE	FALSE	TRUE	TRUE	NA	basket
K6HsQtxkc3dnokJJY	BCS	red_phone	feedback	scene2	"NA"	"NA"	"NA"	"NA"	1	pophristic_stimuli	3	crveno i ima brojke	crveno i ima brojke		red_phone	1	"c(""C"", """", """", """")"		TRUE	FALSE	FALSE	TRUE	FALSE	NA	phone
K6HsQtxkc3dnokJJY	BCS	husky	feedback	subNec	dog	animal	bear	animal	1	degenetal_stimuli	4	sivo i izgleda ko vuk	sivo i izgleda ko vuk		husky	1	"c("""", """", """", """", """")"		FALSE	FALSE	FALSE	TRUE	FALSE	NA	husky
K6HsQtxkc3dnokJJY	BCS	green_sock	feedback	scene4	"NA"	"NA"	"NA"	"NA"	1	pophristic_stimuli	5	zeleno	zeleno		green_sock	1	C		TRUE	FALSE	FALSE	TRUE	FALSE	NA	sock
K6HsQtxkc3dnokJJY	BCS	orange_fork	feedback	scene3	"NA"	"NA"	"NA"	"NA"	1	pophristic_stimuli	6	narančasto__poke	narančasto		orange_fork	1	C		TRUE	FALSE	FALSE	TRUE	TRUE	NA	fork
K6HsQtxkc3dnokJJY	BCS	gummyBears	feedback	basicSuffType1	pretzels	snack	cookies	snack	1	degenetal_stimuli	7	šareno	šareno		gummyBears	1			FALSE	FALSE	FALSE	TRUE	FALSE	NA	gummyBears
K6HsQtxkc3dnokJJY	BCS	black_drum	feedback	scene3	"NA"	"NA"	"NA"	"NA"	1	pophristic_stimuli	8	crno i glasno je	crno i glasno je		black_drum	1	"c(""C"", """", """", """")"		TRUE	FALSE	FALSE	TRUE	FALSE	NA	drum
K6HsQtxkc3dnokJJY	BCS	orange_tie	feedback	scene3	"NA"	"NA"	"NA"	"NA"	1	pophristic_stimuli	9	narančasto i ravno	narančasto i ravno		orange_tie	1	"c(""C"", """", """")"		TRUE	FALSE	FALSE	TRUE	TRUE	NA	tie
K6HsQtxkc3dnokJJY	BCS	purple_screwdriver	feedback	scene1	"NA"	"NA"	"NA"	"NA"	1	pophristic_stimuli	10	ljubičasta	ljubičasta		purple_screwdriver	1	C		TRUE	FALSE	FALSE	TRUE	TRUE	NA	screwdriver
