gameId	language	stage	condition	alt1BasicLevel	alt1SuperLevel	alt2BasicLevel	alt2SuperLevel	listenerSelection	imageType	roundNumber	directorAllMessages	directorFirstMessage	guesserAllMessages	nameClickedObj	correct	words	sep	gender	target	clickedColor	clickedType	clickedSize	colorMentioned	nounMentioned	otherMethod	noun_mentioned	color_mentioned
K6HsQtxkc3dnokJJY	BCS	feedback	scene2	NA	NA	NA	NA	1	pophristic_stimuli	2	narancasto i nose se stvari u tome	narancasto i nose se stvari u tome	NA	orange_basket	1	CO	NA	2	basket	orange	basket	0	TRUE	FALSE	TRUE	0	1
K6HsQtxkc3dnokJJY	BCS	feedback	scene2	NA	NA	NA	NA	1	pophristic_stimuli	3	crveno i ima brojke	crveno i ima brojke	NA	red_phone	1	CO	NA	2	phone	red	phone	0	TRUE	FALSE	TRUE	0	1
K6HsQtxkc3dnokJJY	BCS	feedback	scene4	NA	NA	NA	NA	1	pophristic_stimuli	5	zeleno	zeleno	NA	green_sock	1	C	NA	5	sock	green	sock	0	TRUE	FALSE	FALSE	0	1
K6HsQtxkc3dnokJJY	BCS	feedback	scene3	NA	NA	NA	NA	1	pophristic_stimuli	6	narancasto__poke	narancasto	NA	orange_fork	1	C	NA	5	fork	orange	fork	0	TRUE	FALSE	FALSE	0	1
K6HsQtxkc3dnokJJY	BCS	feedback	scene3	NA	NA	NA	NA	1	pophristic_stimuli	8	crno i glasno je	crno i glasno je	NA	black_drum	1	CO	NA	1	drum	black	drum	0	TRUE	FALSE	TRUE	0	1
K6HsQtxkc3dnokJJY	BCS	feedback	scene3	NA	NA	NA	NA	1	pophristic_stimuli	9	narancasto i ravno	narancasto i ravno	NA	orange_tie	1	CO	NA	1	tie	orange	tie	0	TRUE	FALSE	TRUE	0	1
K6HsQtxkc3dnokJJY	BCS	feedback	scene1	NA	NA	NA	NA	1	pophristic_stimuli	10	ljubicasta	ljubicasta	NA	purple_screwdriver	1	C	NA	6	screwdriver	purple	screwdriver	0	TRUE	FALSE	FALSE	0	1
K6HsQtxkc3dnokJJY	BCS	feedback	scene4	NA	NA	NA	NA	1	pophristic_stimuli	12	volim sjediti na tom	volim sjediti na tom	NA	white_chair	1	O	NA	0	chair	white	chair	0	FALSE	FALSE	TRUE	0	0
K6HsQtxkc3dnokJJY	BCS	feedback	scene3	NA	NA	NA	NA	1	pophristic_stimuli	13	lijepo mirise	lijepo mirise	NA	red_candle	1	CO	NA	0	candle	red	candle	0	TRUE	FALSE	TRUE	0	1
K6HsQtxkc3dnokJJY	BCS	feedback	scene2	NA	NA	NA	NA	1	pophristic_stimuli	14	crno i ima brojeve opet	crno i ima brojeve opet	NA	black_calendar	1	CO	NA	2	calendar	black	calendar	0	TRUE	FALSE	TRUE	0	1
K6HsQtxkc3dnokJJY	BCS	feedback	scene2	NA	NA	NA	NA	1	pophristic_stimuli	15	lijepo i crveno	lijepo i crveno	NA	red_butterfly	1	OC	NA	2	butterfly	red	butterfly	0	TRUE	FALSE	TRUE	0	1
K6HsQtxkc3dnokJJY	BCS	feedback	scene3	NA	NA	NA	NA	1	pophristic_stimuli	16	moju spijunirat kroz njih	moju spijunirat kroz njih	NA	orange_binoculars	1	O	NA	2	binoculars	orange	binoculars	0	FALSE	FALSE	TRUE	0	0
K6HsQtxkc3dnokJJY	BCS	feedback	scene1	NA	NA	NA	NA	1	pophristic_stimuli	17	nosim ih trenutno i narancasto je	nosim ih trenutno i narancasto je	NA	orange_slipper	1	OC	NA	2	slipper	orange	slipper	0	TRUE	FALSE	TRUE	0	1
K6HsQtxkc3dnokJJY	BCS	feedback	scene2	NA	NA	NA	NA	1	pophristic_stimuli	19	crno i ima tocke	crno i ima tocke	NA	black_die	1	CO	NA	2	die	black	die	0	TRUE	FALSE	TRUE	0	1
K6HsQtxkc3dnokJJY	BCS	feedback	scene1	NA	NA	NA	NA	1	pophristic_stimuli	21	crveno i mekano	crveno i mekano	NA	red_scarf	1	CO	NA	2	scarf	red	scarf	0	TRUE	FALSE	TRUE	0	1
