gameId	language	condition	roundNumber	nameClickedObj	correct	words	target	colorMentioned	nounMentioned	otherMentioned	clickedColor	clickedType
82aQfrqTW7x3Ej6En	English	scene3	1	blue_fence	1	N	fence	0	1	0	blue	fence
82aQfrqTW7x3Ej6En	English	scene4	3	orange_calendar	1	CN	calendar	1	1	0	orange	calendar
82aQfrqTW7x3Ej6En	English	scene3	6	yellow_belt	1	N	belt	0	1	0	yellow	belt
82aQfrqTW7x3Ej6En	English	scene3	7	red_calculator	1	N	calculator	0	1	0	red	calculator
82aQfrqTW7x3Ej6En	English	scene3	8	orange_sock	1	N	sock	0	1	0	orange	sock
82aQfrqTW7x3Ej6En	English	scene4	9	red_guitar	1	CN	guitar	1	1	0	red	guitar
82aQfrqTW7x3Ej6En	English	scene4	10	yellow_cushion	1	CN	cushion	1	1	0	yellow	cushion
82aQfrqTW7x3Ej6En	English	scene2	14	orange_fork	1	N	fork	0	1	0	orange	fork
82aQfrqTW7x3Ej6En	English	scene2	15	purple_robot	1	N	robot	0	1	0	purple	robot
82aQfrqTW7x3Ej6En	English	scene1	16	purple_fish	1	CN	fish	1	1	0	purple	fish
82aQfrqTW7x3Ej6En	English	scene3	17	black_drum	1	N	drum	0	1	0	black	drum
82aQfrqTW7x3Ej6En	English	scene2	19	yellow_book	1	CN	book	1	1	0	yellow	book
82aQfrqTW7x3Ej6En	English	scene3	20	yellow_scarf	1	N	scarf	0	1	0	yellow	scarf
82aQfrqTW7x3Ej6En	English	scene4	21	yellow_ring	1	CN	ring	1	1	0	yellow	ring
82aQfrqTW7x3Ej6En	English	scene3	23	red_chair	1	N	chair	0	1	0	red	chair
82aQfrqTW7x3Ej6En	English	scene4	24	purple_ribbon	1	CN	ribbon	1	1	0	purple	ribbon
82aQfrqTW7x3Ej6En	English	scene3	25	green_binoculars	1	N	binoculars	0	1	0	green	binoculars
82aQfrqTW7x3Ej6En	English	scene1	27	purple_screwdriver	1	CN	screwdriver	1	1	0	purple	screwdriver
82aQfrqTW7x3Ej6En	English	scene2	28	purple_tie	1	N	tie	0	1	0	purple	tie
82aQfrqTW7x3Ej6En	English	scene2	29	purple_glove	1	N	glove	0	1	0	purple	glove
82aQfrqTW7x3Ej6En	English	scene1	30	green_basket	1	CN	basket	1	1	0	green	basket
82aQfrqTW7x3Ej6En	English	scene2	33	green_knife	1	N	knife	0	1	0	green	knife
82aQfrqTW7x3Ej6En	English	scene4	37	green_necklace	1	CN	necklace	1	1	0	green	necklace
82aQfrqTW7x3Ej6En	English	scene1	38	black_die	1	CN	die	1	1	0	black	die
82aQfrqTW7x3Ej6En	English	scene2	40	purple_helicopter	1	N	helicopter	0	1	0	purple	helicopter
82aQfrqTW7x3Ej6En	English	scene1	41	purple_lock	0	N	lock	0	1	0	purple	lock
82aQfrqTW7x3Ej6En	English	scene4	42	red_mug	1	CN	mug	1	1	0	red	mug
82aQfrqTW7x3Ej6En	English	scene1	44	blue_crown	1	CN	crown	1	1	0	blue	crown
82aQfrqTW7x3Ej6En	English	scene3	45	black_bowl	1	N	bowl	0	1	0	black	bowl
