gameId	language	stage	condition	alt1BasicLevel	alt1SuperLevel	alt2BasicLevel	alt2SuperLevel	listenerSelection	roundNumber	directorAllMessages	directorFirstMessage	guesserAllMessages	nameClickedObj	correct	words	sep	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned
35NAyGqMuuhEiwwsu	Arabic	feedback	basicSuffType2	rabbit	animal	ivy	plant	1	1	common pet__7ayawan yurabihi ba3d al nas fi al bayt__najis	common pet		germanShepherd	1	"c("""", """")"		FALSE	FALSE	TRUE	TRUE	FALSE
35NAyGqMuuhEiwwsu	Arabic	feedback	basicSuffType1	ivy	plant	rosemary	plant	1	2	hadiya lil zawja	hadiya lil zawja		tulip	1	"c("""", """", """")"		FALSE	FALSE	TRUE	TRUE	FALSE
35NAyGqMuuhEiwwsu	Arabic	feedback	size32	"NA"	"NA"	"NA"	"NA"	1	3	asghar wa7id	asghar wa7id		small_black_book	1	"c(""S"", ""B"")"		FALSE	TRUE	TRUE	TRUE	FALSE
35NAyGqMuuhEiwwsu	Arabic	feedback	subNec	flower	plant	ivy	plant	1	4	fiha asfar	fiha asfar		daisy	1	"c("""", ""C"")"		TRUE	FALSE	TRUE	TRUE	FALSE
35NAyGqMuuhEiwwsu	Arabic	feedback	size22	"NA"	"NA"	"NA"	"NA"	1	5	asghar wa7id	asghar wa7id		small_blue_guitar	1	"c(""S"", ""B"")"		FALSE	TRUE	TRUE	TRUE	FALSE
35NAyGqMuuhEiwwsu	Arabic	feedback	basicSuffType1	lamp	furniture	bed	furniture	1	6	lil julous	lil julous		picnicTable	1	"c("""", """")"		FALSE	FALSE	TRUE	TRUE	FALSE
35NAyGqMuuhEiwwsu	Arabic	feedback	size42	"NA"	"NA"	"NA"	"NA"	1	7	saghir	saghir		small_orange_pingpongball	1	S		FALSE	TRUE	TRUE	TRUE	FALSE
35NAyGqMuuhEiwwsu	Arabic	feedback	color22	"NA"	"NA"	"NA"	"NA"	1	8	asfar	asfar		small_yellow_shoe	1	C		TRUE	FALSE	TRUE	TRUE	FALSE
35NAyGqMuuhEiwwsu	Arabic	feedback	subNec	fish	animal	squirrel	animal	1	9	naqqar	naqqar		swordFish	1			FALSE	FALSE	TRUE	TRUE	FALSE
35NAyGqMuuhEiwwsu	Arabic	feedback	basicSuffType2	elephant	animal	gloves	clothing	1	10	abyad	abyad		dalmatian	1	C		TRUE	FALSE	TRUE	TRUE	FALSE
