gameId	language	condition	roundNumber	name	nameClickedObj	correct	words	clickedFeatures	clickedColor	clickedType	colorMentioned	nounMentioned	otherMethod	target	color_mentioned
65RDWXStbxX2jsBQ9	BCS	scene1	1	red_candle	red_candle	1	CN		red	candle	1	1	0	candle	1
65RDWXStbxX2jsBQ9	BCS	scene2	4	white_balloon	white_balloon	1	N		white	balloon	0	1	0	balloon	0
65RDWXStbxX2jsBQ9	BCS	scene1	6	green_microscope	green_microscope	1	CN		green	microscope	1	1	0	microscope	1
65RDWXStbxX2jsBQ9	BCS	scene4	7	red_comb	red_comb	1	CN		red	comb	1	1	0	comb	1
65RDWXStbxX2jsBQ9	BCS	scene3	8	red_calculator	red_calculator	1	N		red	calculator	0	1	0	calculator	0
65RDWXStbxX2jsBQ9	BCS	scene2	9	white_dress	white_dress	1	N		white	dress	0	1	0	dress	0
65RDWXStbxX2jsBQ9	BCS	scene3	10	red_belt	red_belt	1	N		red	belt	0	1	0	belt	0
65RDWXStbxX2jsBQ9	BCS	scene1	11	red_pencil	red_pencil	1	CN		red	pencil	1	1	0	pencil	1
65RDWXStbxX2jsBQ9	BCS	scene4	12	red_chair	red_chair	1	CN		red	chair	1	1	0	chair	1
65RDWXStbxX2jsBQ9	BCS	scene3	13	white_mask	white_mask	1	N		white	mask	0	1	0	mask	0
65RDWXStbxX2jsBQ9	BCS	scene3	15	green_basket	green_basket	1	CN		green	basket	1	1	0	basket	1
65RDWXStbxX2jsBQ9	BCS	scene3	16	black_luggage	black_luggage	1	N		black	luggage	0	1	0	luggage	0
65RDWXStbxX2jsBQ9	BCS	scene1	17	green_binoculars	green_binoculars	1	CN		green	binoculars	1	1	0	binoculars	1
65RDWXStbxX2jsBQ9	BCS	scene3	19	white_mug	white_mug	1	N		white	mug	0	1	0	mug	0
65RDWXStbxX2jsBQ9	BCS	scene2	22	purple_truck	purple_truck	1	N		purple	truck	0	1	0	truck	0
65RDWXStbxX2jsBQ9	BCS	scene2	23	purple_necklace	purple_necklace	1	N		purple	necklace	0	1	0	necklace	0
65RDWXStbxX2jsBQ9	BCS	scene2	24	black_ribbon	black_ribbon	1	N		black	ribbon	0	1	0	ribbon	0
65RDWXStbxX2jsBQ9	BCS	scene2	25	blue_crown	blue_crown	1	N		blue	crown	0	1	0	crown	0
65RDWXStbxX2jsBQ9	BCS	scene1	29	black_shell	black_shell	1	CN		black	shell	1	1	0	shell	1
65RDWXStbxX2jsBQ9	BCS	scene1	31	red_flower	red_flower	1	CN		red	flower	1	1	0	flower	1
65RDWXStbxX2jsBQ9	BCS	scene1	33	blue_wallet	blue_wallet	1	CN		blue	wallet	1	1	0	wallet	1
65RDWXStbxX2jsBQ9	BCS	scene4	34	white_fence	white_fence	1	CN		white	fence	1	1	0	fence	1
65RDWXStbxX2jsBQ9	BCS	scene4	35	yellow_cushion	yellow_cushion	1	CN		yellow	cushion	1	1	0	cushion	1
65RDWXStbxX2jsBQ9	BCS	scene2	36	blue_phone	blue_phone	1	N		blue	phone	0	1	0	phone	0
65RDWXStbxX2jsBQ9	BCS	scene2	38	blue_door	blue_door	1	N		blue	door	0	1	0	door	0
65RDWXStbxX2jsBQ9	BCS	scene1	42	orange_bowl	orange_bowl	1	CN		orange	bowl	1	1	0	bowl	1
65RDWXStbxX2jsBQ9	BCS	scene4	44	orange_robot	orange_robot	1	CN		orange	robot	1	1	0	robot	1
65RDWXStbxX2jsBQ9	BCS	scene1	46	white_book	white_book	1	CN		white	book	1	1	0	book	1
65RDWXStbxX2jsBQ9	BCS	scene2	47	yellow_butterfly	yellow_butterfly	1	N		yellow	butterfly	0	1	0	butterfly	0
65RDWXStbxX2jsBQ9	BCS	scene4	48	yellow_ring	yellow_ring	1	CN		yellow	ring	1	1	0	ring	1
65RDWXStbxX2jsBQ9	BCS	scene4	49	green_knife	green_knife	1	CN		green	knife	1	1	0	knife	1
65RDWXStbxX2jsBQ9	BCS	scene1	50	blue_bed	blue_bed	1	CN		blue	bed	1	1	0	bed	1
65RDWXStbxX2jsBQ9	BCS	scene3	51	black_fish	black_fish	1	N		black	fish	0	1	0	fish	0
65RDWXStbxX2jsBQ9	BCS	scene3	54	red_guitar	red_guitar	1	N		red	guitar	0	1	0	guitar	0
65RDWXStbxX2jsBQ9	BCS	scene4	55	black_helicopter	black_helicopter	1	CN		black	helicopter	1	1	0	helicopter	1
65RDWXStbxX2jsBQ9	BCS	scene2	56	black_calendar	black_calendar	1	N		black	calendar	0	1	0	calendar	0
65RDWXStbxX2jsBQ9	BCS	scene2	58	black_hammer	black_hammer	1	N		black	hammer	0	1	0	hammer	0
65RDWXStbxX2jsBQ9	BCS	scene4	59	green_tie	green_tie	1	CN		green	tie	1	1	0	tie	1
65RDWXStbxX2jsBQ9	BCS	scene3	61	green_die	green_die	1	N		green	die	0	1	0	die	0
65RDWXStbxX2jsBQ9	BCS	scene1	62	green_drum	green_drum	1	CN		green	drum	1	1	0	drum	1
65RDWXStbxX2jsBQ9	BCS	scene4	63	red_iron	red_iron	1	CN		red	iron	1	1	0	iron	1
65RDWXStbxX2jsBQ9	BCS	scene1	65	green_sock	green_sock	1	CN		green	sock	1	1	0	sock	1
65RDWXStbxX2jsBQ9	BCS	scene3	66	white_scarf	white_scarf	1	N		white	scarf	0	1	0	scarf	0
65RDWXStbxX2jsBQ9	BCS	scene2	67	orange_slipper	orange_slipper	1	N		orange	slipper	0	1	0	slipper	0
65RDWXStbxX2jsBQ9	BCS	scene3	69	green_screwdriver	green_screwdriver	1	N		green	screwdriver	0	1	0	screwdriver	0
65RDWXStbxX2jsBQ9	BCS	scene4	70	purple_glove	purple_glove	1	CN		purple	glove	1	1	0	glove	1
DdjWcaT3Pswz98mfX	BCS	scene2	4	red_door	red_door	1	N		red	door	0	1	0	door	0
DdjWcaT3Pswz98mfX	BCS	scene3	5	yellow_guitar	yellow_guitar	1	N		yellow	guitar	0	1	0	guitar	0
DdjWcaT3Pswz98mfX	BCS	scene3	9	yellow_comb	yellow_comb	1	N		yellow	comb	0	1	0	comb	0
DdjWcaT3Pswz98mfX	BCS	scene2	11	green_knife	green_knife	1	N		green	knife	0	1	0	knife	0
DdjWcaT3Pswz98mfX	BCS	scene1	16	white_phone	white_phone	1	CN		white	phone	1	1	0	phone	1
DdjWcaT3Pswz98mfX	BCS	scene2	17	green_helicopter	green_helicopter	1	N		green	helicopter	0	1	0	helicopter	0
DdjWcaT3Pswz98mfX	BCS	scene3	18	orange_binoculars	orange_binoculars	1	N		orange	binoculars	0	1	0	binoculars	0
DdjWcaT3Pswz98mfX	BCS	scene3	19	red_ring	red_ring	1	N		red	ring	0	1	0	ring	0
DdjWcaT3Pswz98mfX	BCS	scene1	21	purple_basket	purple_basket	1	CN		purple	basket	1	1	0	basket	1
DdjWcaT3Pswz98mfX	BCS	scene1	23	red_butterfly	red_butterfly	1	CN		red	butterfly	1	1	0	butterfly	1
DdjWcaT3Pswz98mfX	BCS	scene2	24	purple_tie	purple_tie	1	N		purple	tie	0	1	0	tie	0
DdjWcaT3Pswz98mfX	BCS	scene4	26	red_iron	red_iron	1	CN		red	iron	1	1	0	iron	1
DdjWcaT3Pswz98mfX	BCS	scene2	27	red_dress	red_dress	1	N		red	dress	0	1	0	dress	0
DdjWcaT3Pswz98mfX	BCS	scene3	28	white_mug	white_mug	1	N		white	mug	0	1	0	mug	0
DdjWcaT3Pswz98mfX	BCS	scene1	29	purple_lock	purple_lock	1	CN		purple	lock	1	1	0	lock	1
DdjWcaT3Pswz98mfX	BCS	scene2	31	black_fork	black_fork	1	N		black	fork	0	1	0	fork	0
