gameId	language	name	stage	condition	alt1BasicLevel	alt1SuperLevel	alt2BasicLevel	alt2SuperLevel	listenerSelection	imageType	roundNumber	directorAllMessages	directorFirstMessage	guesserAllMessages	nameClickedObj	correct	words	sep	gender
65RDWXStbxX2jsBQ9	BCS	red_candle	feedback	scene1	"NA"	"NA"	"NA"	"NA"	1	NA	1	crvena sveca	crvena sveca		red_candle	1	"c(""C"", ""N"")"		NA
65RDWXStbxX2jsBQ9	BCS	white_balloon	feedback	scene2	"NA"	"NA"	"NA"	"NA"	1	NA	4	balon	balon		white_balloon	1	N		NA
65RDWXStbxX2jsBQ9	BCS	green_microscope	feedback	scene1	"NA"	"NA"	"NA"	"NA"	1	NA	6	zeleni mikroskop	zeleni mikroskop		green_microscope	1	"c(""C"", ""N"")"		NA
65RDWXStbxX2jsBQ9	BCS	red_comb	feedback	scene4	"NA"	"NA"	"NA"	"NA"	1	NA	7	crveni cesalj	crveni cesalj		red_comb	1	"c(""C"", ""N"")"		NA
65RDWXStbxX2jsBQ9	BCS	red_calculator	feedback	scene3	"NA"	"NA"	"NA"	"NA"	1	NA	8	kalkulator	kalkulator		red_calculator	1	N		NA
65RDWXStbxX2jsBQ9	BCS	white_dress	feedback	scene2	"NA"	"NA"	"NA"	"NA"	1	NA	9	haljina	haljina		white_dress	1	N		NA
65RDWXStbxX2jsBQ9	BCS	red_belt	feedback	scene3	"NA"	"NA"	"NA"	"NA"	1	NA	10	opasac	opasac		red_belt	1			NA
65RDWXStbxX2jsBQ9	BCS	red_pencil	feedback	scene1	"NA"	"NA"	"NA"	"NA"	1	NA	11	crvena olovka	crvena olovka		red_pencil	1	"c(""C"", ""N"")"		NA
65RDWXStbxX2jsBQ9	BCS	red_chair	feedback	scene4	"NA"	"NA"	"NA"	"NA"	1	NA	12	crvena stolica	crvena stolica		red_chair	1	"c(""C"", ""N"")"		NA
65RDWXStbxX2jsBQ9	BCS	white_mask	feedback	scene3	"NA"	"NA"	"NA"	"NA"	1	NA	13	maska	maska		white_mask	1	N		NA
65RDWXStbxX2jsBQ9	BCS	green_basket	feedback	scene3	"NA"	"NA"	"NA"	"NA"	1	NA	15	zelena korpa	zelena korpa		green_basket	1	"c(""C"", ""N"")"		NA
65RDWXStbxX2jsBQ9	BCS	black_luggage	feedback	scene3	"NA"	"NA"	"NA"	"NA"	1	NA	16	kofer	kofer		black_luggage	1	N		NA
65RDWXStbxX2jsBQ9	BCS	green_binoculars	feedback	scene1	"NA"	"NA"	"NA"	"NA"	1	NA	17	zeleni dvogled	zeleni dvogled		green_binoculars	1	"c(""C"", ""N"")"		NA
65RDWXStbxX2jsBQ9	BCS	white_mug	feedback	scene3	"NA"	"NA"	"NA"	"NA"	1	NA	19	solja	solja		white_mug	1	N		NA
65RDWXStbxX2jsBQ9	BCS	purple_truck	feedback	scene2	"NA"	"NA"	"NA"	"NA"	1	NA	22	kamion	kamion		purple_truck	1	N		NA
65RDWXStbxX2jsBQ9	BCS	purple_necklace	feedback	scene2	"NA"	"NA"	"NA"	"NA"	1	NA	23	ogrlica	ogrlica		purple_necklace	1	N		NA
65RDWXStbxX2jsBQ9	BCS	black_ribbon	feedback	scene2	"NA"	"NA"	"NA"	"NA"	1	NA	24	ukrasna masna	ukrasna masna		black_ribbon	1	"c("""", ""N"")"		NA
65RDWXStbxX2jsBQ9	BCS	blue_crown	feedback	scene2	"NA"	"NA"	"NA"	"NA"	1	NA	25	kruna	kruna		blue_crown	1	N		NA
65RDWXStbxX2jsBQ9	BCS	black_shell	feedback	scene1	"NA"	"NA"	"NA"	"NA"	1	NA	29	crna skoljka	crna skoljka		black_shell	1	"c(""C"", ""N"")"		NA
65RDWXStbxX2jsBQ9	BCS	red_flower	feedback	scene1	"NA"	"NA"	"NA"	"NA"	1	NA	31	crveni cvet	crveni cvet		red_flower	1	"c(""C"", ""N"")"		NA
65RDWXStbxX2jsBQ9	BCS	blue_wallet	feedback	scene1	"NA"	"NA"	"NA"	"NA"	1	NA	33	plavi novcanik	plavi novcanik		blue_wallet	1	"c(""C"", ""N"")"		NA
65RDWXStbxX2jsBQ9	BCS	white_fence	feedback	scene4	"NA"	"NA"	"NA"	"NA"	1	NA	34	bela taraba	bela taraba		white_fence	1	"c(""C"", """")"		NA
65RDWXStbxX2jsBQ9	BCS	yellow_cushion	feedback	scene4	"NA"	"NA"	"NA"	"NA"	1	NA	35	zuti jastuk	zuti jastuk		yellow_cushion	1	"c(""C"", ""N"")"		NA
65RDWXStbxX2jsBQ9	BCS	blue_phone	feedback	scene2	"NA"	"NA"	"NA"	"NA"	1	NA	36	telefon	telefon		blue_phone	1	N		NA
65RDWXStbxX2jsBQ9	BCS	blue_door	feedback	scene2	"NA"	"NA"	"NA"	"NA"	1	NA	38	vrata	vrata		blue_door	1	N		NA
